伝票区切,伝票日付,部門ｺｰﾄﾞ,部門名,科目ｺｰﾄﾞ,科目名,補助科目ｺｰﾄﾞ,補助科目名,税抜金額,税金額,税区分,税率,外貨ｺｰﾄﾞ,換算ﾚｰﾄ,外貨金額,外貨税額,摘要（品名）
*,2026-05-13,92210,経理統括,84650,交際費,2,交際費　その他,888,5646,10,8%,00,,888,,mokuteki
*,2026-05-19,92210,経理統括,84670,旅費交通費,11,旅費交通費　海外,500,8,10,,00,,500,,出張旅費
*,2026-05-05,92210,経理統括,84690,事務消耗品費,,,1100,,,,00,,1100,,会計研修費
*,2026-05-11,92210,経理統括,84670,旅費交通費,,,16000,,,,00,,16000,,出張旅費
*,2026-05-11,92210,経理統括,84670,旅費交通費,,,3500,,,,00,,3500,,出張旅費
*,2026-05-11,92210,経理統括,84670,旅費交通費,,,1200,,,,00,,1200,,出張旅費
*,2026-05-12,92210,経理統括,84670,旅費交通費,,,300,,,,00,,300,,出張旅費
*,2026-05-12,92210,経理統括,84670,旅費交通費,,,640,,,,00,,640,,出張旅費
*,2026-05-12,92210,経理統括,84670,旅費交通費,,,13000,,,,00,,13000,,出張旅費
*,2026-05-11,92210,経理統括,84670,旅費交通費,,,7600,,,,00,,7600,,宿泊費
*,« NULL »,92210,経理統括,84670,旅費交通費,,,« NULL »,,,,00,,« NULL »,,日当
*,2026-06-05,92210,経理統括,84120,材料仕入高,,,1000,,,,00,,1000,,部材購入
*,2026-05-19,92210,経理統括,84670,旅費交通費,,,500,,,,00,,500,,出張旅費
*,2026-05-30,92210,経理統括,84510,保修費,,,1500,,,,00,,1500,,備品購入
*,2026-05-29,92210,経理統括,13700,仮払金,,,10000,,,,00,,10000,,切手
*,2026-05-29,92210,経理統括,84480,保険料,,,330,,,,00,,330,,aaaa
*,2026-05-28,92210,経理統括,84800,雑費,,,550,,,,00,,550,,手数料
*,2026-05-28,92210,経理統括,84800,雑費,,,550,,,,00,,550,,手数料
*,2026-05-30,92210,経理統括,84500,賃借料,,,50000,,,,00,,50000,,会議室利用
*,2026-05-27,92210,経理統括,84490,地代･家賃,,,564,,,,00,,564,,sfdg
*,2026-05-30,92210,経理統括,84500,賃借料,,,50000,,,,00,,50000,,会議室利用
*,2026-05-19,92210,経理統括,84670,旅費交通費,,,500,,,,00,,500,,出張旅費
*,2026-06-01,92210,経理統括,84670,旅費交通費,,,4445,,,,00,,4445,,宿泊費
*,« NULL »,92210,経理統括,84670,旅費交通費,,,5000,,,,00,,5000,,日当
*,2026-05-18,29100,応用技術,84670,旅費交通費,,,5000,,,,00,,5000,,出張旅費
*,2026-05-19,29100,応用技術,84670,旅費交通費,,,10000,,,,00,,10000,,宿泊費
*,« NULL »,29100,応用技術,84670,旅費交通費,,,5000,,,,00,,5000,,日当
*,2026-06-02,29100,応用技術,84670,旅費交通費,,,500,,,,00,,500,,出張旅費
*,2026-06-02,29100,応用技術,84670,旅費交通費,,,400,,,,00,,400,,出張旅費
*,2026-06-02,29100,応用技術,84670,旅費交通費,,,10000,,,,00,,10000,,出張旅費
*,2026-06-25,29100,応用技術,84670,旅費交通費,,,5000,,,,00,,5000,,出張旅費
*,« NULL »,29100,応用技術,84670,旅費交通費,,,7500,,,,00,,7500,,出張旅費
*,2026-05-14,92110,人事部,84800,雑費,,,33000,,,,00,,33000,,社労士顧問料
*,2026-05-14,92110,人事部,84800,雑費,,,123,,,,00,,123,,社労士顧問料手数料
*,2026-06-02,90120,購買部_D,83690,事務消耗品費,,,1329,,,,00,,1329,,備品購入
